state	year	state.population	prison.population	region
South Dakota	1982	NA	794	Midwest
Tennessee	1982	NA	7683	South
Texas	1982	NA	36149	South
Utah	1982	NA	1169	West
Vermont	1982	NA	579	Northeast
Virginia	1982	NA	9229	South
Washington	1982	NA	5861	West
West Virginia	1982	NA	1547	South
Wisconsin	1982	NA	4441	Midwest
Wyoming	1982	NA	684	West
Alabama	1983	NA	8855	South
Alaska	1983	NA	1350	West
Arizona	1983	NA	6889	West
Arkansas	1983	NA	4128	South
California	1983	NA	39373	West
Colorado	1983	NA	3242	West
Connecticut	1983	NA	5382	Northeast
Delaware	1983	NA	1916	South
Florida	1983	NA	26229	South
Georgia	1983	NA	15358	South
Hawaii	1983	NA	1520	West
Idaho	1983	NA	1127	West
Illinois	1983	NA	15437	Midwest
Indiana	1983	NA	9360	Midwest
Iowa	1983	NA	2814	Midwest
Kansas	1983	NA	3623	Midwest
Kentucky	1983	NA	4641	South
Louisiana	1983	NA	10516	South
Maine	1983	NA	947	Northeast
Maryland	1983	NA	12485	South
Massachusetts	1983	NA	4532	Northeast
Michigan	1983	NA	14510	Midwest
Minnesota	1983	NA	2235	Midwest
Mississippi	1983	NA	4580	South
Missouri	1983	NA	8026	Midwest
Montana	1983	NA	783	West
Nebraska	1983	NA	1690	Midwest
Nevada	1983	NA	3192	West
New Hampshire	1983	NA	459	Northeast
New Jersey	1983	NA	9142	Northeast
New Mexico	1983	NA	1936	West
New York	1983	NA	30924	Northeast
North Carolina	1983	NA	15485	South
North Dakota	1983	NA	422	Midwest
Ohio	1983	NA	17766	Midwest
Oklahoma	1983	NA	7025	South
Oregon	1983	NA	3318	West
Pennsylvania	1983	NA	11798	Northeast
Rhode Island	1983	NA	1150	Northeast
South Carolina	1983	NA	8716	South
South Dakota	1983	NA	830	Midwest
Tennessee	1983	NA	7876	South
Texas	1983	NA	35259	South
Utah	1983	NA	1234	West
Vermont	1983	NA	535	Northeast
Virginia	1983	NA	9222	South
Washington	1983	NA	6198	West
West Virginia	1983	NA	1667	South
Wisconsin	1983	NA	4226	Midwest
Wyoming	1983	NA	681	West
Alabama	1984	NA	10025	South
Alaska	1984	NA	1698	West
Arizona	1984	NA	7845	West
Arkansas	1984	NA	4346	South
California	1984	NA	43197	West
Colorado	1984	NA	3230	West
Connecticut	1984	NA	5611	Northeast
Delaware	1984	NA	1893	South
Florida	1984	NA	26906	South
Georgia	1984	NA	15404	South
Hawaii	1984	NA	1734	West
Idaho	1984	NA	1186	West
Illinois	1984	NA	16912	Midwest
Indiana	1984	NA	9392	Midwest
Iowa	1984	NA	2836	Midwest
Kansas	1984	NA	4134	Midwest
Kentucky	1984	NA	4710	South
Louisiana	1984	NA	10685	South
Maine	1984	NA	982	Northeast
Maryland	1984	NA	12991	South
Massachusetts	1984	NA	4974	Northeast
Michigan	1984	NA	14604	Midwest
Minnesota	1984	NA	2331	Midwest
Mississippi	1984	NA	4819	South
Missouri	1984	NA	8685	Midwest
Montana	1984	NA	826	West
Nebraska	1984	NA	1690	Midwest
Nevada	1984	NA	3470	West
New Hampshire	1984	NA	548	Northeast
New Jersey	1984	NA	10345	Northeast
New Mexico	1984	NA	2035	West
New York	1984	NA	33782	Northeast
North Carolina	1984	NA	16469	South
North Dakota	1984	NA	446	Midwest
Ohio	1984	NA	18332	Midwest
Oklahoma	1984	NA	6960	South
Oregon	1984	NA	3439	West
Pennsylvania	1984	NA	13126	Northeast
Rhode Island	1984	NA	1233	Northeast
South Carolina	1984	NA	8894	South
South Dakota	1984	NA	912	Midwest
Tennessee	1984	NA	7227	South
Texas	1984	NA	36682	South
Utah	1984	NA	1546	West
Vermont	1984	NA	491	Northeast
Virginia	1984	NA	9786	South
Washington	1984	NA	6342	West
West Virginia	1984	NA	1606	South
Wisconsin	1984	NA	4845	Midwest
Wyoming	1984	NA	706	West
Alabama	1985	NA	10715	South
Alaska	1985	NA	1929	West
Arizona	1985	NA	8531	West
Arkansas	1985	NA	4504	South
California	1985	NA	50158	West
Colorado	1985	NA	3386	West
Connecticut	1985	NA	6010	Northeast
