state	year	state.population	prison.population	region
New Jersey	2009	NA	21165	Northeast
New Mexico	2009	NA	3762	West
New York	2009	NA	58479	Northeast
North Carolina	2009	NA	39916	South
North Dakota	2009	NA	1436	Midwest
Ohio	2009	NA	48588	Midwest
Oklahoma	2009	NA	18064	South
Oregon	2009	NA	13735	West
Pennsylvania	2009	NA	49565	Northeast
Rhode Island	2009	NA	3413	Northeast
South Carolina	2009	NA	23671	South
South Dakota	2009	NA	3377	Midwest
Tennessee	2009	NA	14824	South
Texas	2009	NA	139335	South
Utah	2009	NA	5244	West
Vermont	2009	NA	1552	Northeast
Virginia	2009	NA	29420	South
Washington	2009	NA	17131	West
West Virginia	2009	NA	5062	South
Wisconsin	2009	NA	22245	Midwest
Wyoming	2009	NA	1516	West
Alabama	2010	4779736	26321	South
Alaska	2010	710231	3771	West
Arizona	2010	6392017	34774	West
Arkansas	2010	2915918	14192	South
California	2010	37253956	160651	West
Colorado	2010	5029196	18254	West
Connecticut	2010	3574097	17746	Northeast
Delaware	2010	897934	6378	South
Florida	2010	18801310	90274	South
Georgia	2010	9687653	47561	South
Hawaii	2010	1360301	3363	West
Idaho	2010	1567582	4999	West
Illinois	2010	12830632	48418	Midwest
Indiana	2010	6483802	24456	Midwest
Iowa	2010	3046355	9457	Midwest
Kansas	2010	2853118	9055	Midwest
Kentucky	2010	4339367	12374	South
Louisiana	2010	4533372	16087	South
Maine	2010	1328361	1954	Northeast
Maryland	2010	5773552	22786	South
Massachusetts	2010	6547629	11162	Northeast
Michigan	2010	9883640	44113	Midwest
Minnesota	2010	5303925	9397	Midwest
Mississippi	2010	2967297	11213	South
Missouri	2010	5988927	30577	Midwest
Montana	2010	989415	1635	West
Nebraska	2010	1826341	4608	Midwest
Nevada	2010	2700551	12192	West
New Hampshire	2010	1316470	2617	Northeast
New Jersey	2010	8791894	21647	Northeast
New Mexico	2010	2059179	3754	West
New York	2010	19378102	56420	Northeast
North Carolina	2010	9535483	40167	South
North Dakota	2010	672591	1416	Midwest
Ohio	2010	11536504	48671	Midwest
Oklahoma	2010	3751351	18128	South
Oregon	2010	3831074	13859	West
Pennsylvania	2010	12702379	47072	Northeast
Rhode Island	2010	1052567	3159	Northeast
South Carolina	2010	4625364	22992	South
South Dakota	2010	814180	3388	Midwest
Tennessee	2010	6346105	14917	South
Texas	2010	25145561	141087	South
Utah	2010	2763885	5442	West
Vermont	2010	625741	1517	Northeast
Virginia	2010	8001024	30351	South
Washington	2010	6724540	17028	West
West Virginia	2010	1852994	5072	South
Wisconsin	2010	5686986	21983	Midwest
Wyoming	2010	563626	1875	West
Alabama	2011	NA	26268	South
Alaska	2011	NA	4528	West
Arizona	2011	NA	33492	West
Arkansas	2011	NA	14090	South
California	2011	NA	146881	West
Colorado	2011	NA	17559	West
Connecticut	2011	NA	17022	Northeast
Delaware	2011	NA	6546	South
Florida	2011	NA	89034	South
Georgia	2011	NA	47229	South
Hawaii	2011	NA	3687	West
Idaho	2011	NA	5138	West
Illinois	2011	NA	48427	Midwest
Indiana	2011	NA	24450	Midwest
Iowa	2011	NA	9115	Midwest
Kansas	2011	NA	9256	Midwest
Kentucky	2011	NA	11951	South
Louisiana	2011	NA	15893	South
Maine	2011	NA	1978	Northeast
Maryland	2011	NA	22923	South
Massachusetts	2011	NA	11467	Northeast
Michigan	2011	NA	42904	Midwest
Minnesota	2011	NA	9309	Midwest
Mississippi	2011	NA	10721	South
Missouri	2011	NA	30969	Midwest
Montana	2011	NA	1707	West
Nebraska	2011	NA	4657	Midwest
Nevada	2011	NA	12159	West
New Hampshire	2011	NA	2423	Northeast
New Jersey	2011	NA	20755	Northeast
New Mexico	2011	NA	3834	West
New York	2011	NA	55196	Northeast
North Carolina	2011	NA	39632	South
North Dakota	2011	NA	1385	Midwest
Ohio	2011	NA	47957	Midwest
Oklahoma	2011	NA	17724	South
Oregon	2011	NA	13728	West
Pennsylvania	2011	NA	48515	Northeast
Rhode Island	2011	NA	3032	Northeast
South Carolina	2011	NA	22343	South
South Dakota	2011	NA	3551	Midwest
Tennessee	2011	NA	14684	South
Texas	2011	NA	141353	South
Utah	2011	NA	5294	West
Vermont	2011	NA	1531	Northeast
Virginia	2011	NA	28962	South
Washington	2011	NA	17109	West
West Virginia	2011	NA	5149	South
Wisconsin	2011	NA	22352	Midwest
Wyoming	2011	NA	1917	West
Alabama	2012	NA	26230	South
Alaska	2012	NA	4575	West
Arizona	2012	NA	33578	West
Arkansas	2012	NA	14043	South
California	2012	NA	132327	West
Colorado	2012	NA	16389	West
Connecticut	2012	NA	16347	Northeast
Delaware	2012	NA	6730	South
Florida	2012	NA	88134	South
Georgia	2012	NA	47278	South
Hawaii	2012	NA	3661	West
Idaho	2012	NA	4990	West
Illinois	2012	NA	49348	Midwest
Indiana	2012	NA	23783	Midwest
Iowa	2012	NA	8735	Midwest
Kansas	2012	NA	9422	Midwest
Kentucky	2012	NA	12186	South
Louisiana	2012	NA	15645	South
Maine	2012	NA	1977	Northeast
Maryland	2012	NA	21783	South
Massachusetts	2012	NA	11127	Northeast
Michigan	2012	NA	43594	Midwest
Minnesota	2012	NA	9421	Midwest
Mississippi	2012	NA	11457	South
Missouri	2012	NA	31205	Midwest
Montana	2012	NA	1677	West
Nebraska	2012	NA	4721	Midwest
Nevada	2012	NA	12594	West
New Hampshire	2012	NA	2568	Northeast
New Jersey	2012	NA	20333	Northeast
New Mexico	2012	NA	3641	West
New York	2012	NA	54058	Northeast
North Carolina	2012	NA	37348	South
North Dakota	2012	NA	1413	Midwest
Ohio	2012	NA	45529	Midwest
Oklahoma	2012	NA	17947	South
Oregon	2012	NA	14123	West
Pennsylvania	2012	NA	49009	Northeast
Rhode Island	2012	NA	3042	Northeast
South Carolina	2012	NA	21851	South
South Dakota	2012	NA	3582	Midwest
Tennessee	2012	NA	14652	South
Texas	2012	NA	136578	South
Utah	2012	NA	5309	West
Vermont	2012	NA	1530	Northeast
Virginia	2012	NA	28149	South
Washington	2012	NA	16919	West
West Virginia	2012	NA	5335	South
Wisconsin	2012	NA	22401	Midwest
Wyoming	2012	NA	1951	West
