state	year	state.population	prison.population	state.and.federal.rate	region	sub.region	state.rate
Michigan	1984	NA	14604	161	Midwest	East North Central	NA
Minnesota	1984	NA	2331	52	Midwest	West North Central	NA
Mississippi	1984	NA	4819	232	South	East South Central	NA
Missouri	1984	NA	8685	176	Midwest	West North Central	NA
Montana	1984	NA	826	117	West	Mountain	NA
Nebraska	1984	NA	1690	99	Midwest	West North Central	NA
Nevada	1984	NA	3470	377	West	Mountain	NA
New Hampshire	1984	NA	548	59	Northeast	New England	NA
New Jersey	1984	NA	10345	138	Northeast	Mid Atlantic	NA
New Mexico	1984	NA	2035	135	West	Mountain	NA
New York	1984	NA	33782	187	Northeast	Mid Atlantic	NA
North Carolina	1984	NA	16469	247	South	South Atlantic	NA
North Dakota	1984	NA	446	55	Midwest	West North Central	NA
Ohio	1984	NA	18332	173	Midwest	East North Central	NA
Oklahoma	1984	NA	6960	240	South	West South Central	NA
Oregon	1984	NA	3439	158	West	Pacific	NA
Pennsylvania	1984	NA	13126	110	Northeast	Mid Atlantic	NA
Rhode Island	1984	NA	1233	93	Northeast	New England	NA
South Carolina	1984	NA	8894	285	South	South Atlantic	NA
South Dakota	1984	NA	912	130	Midwest	West North Central	NA
Tennessee	1984	NA	7227	156	South	East South Central	NA
Texas	1984	NA	36682	229	South	West South Central	NA
Utah	1984	NA	1546	92	West	Mountain	NA
Vermont	1984	NA	491	72	Northeast	New England	NA
Virginia	1984	NA	9786	189	South	South Atlantic	NA
Washington	1984	NA	6342	157	West	Pacific	NA
West Virginia	1984	NA	1606	82	South	South Atlantic	NA
Wisconsin	1984	NA	4845	105	Midwest	East North Central	NA
Wyoming	1984	NA	706	143	West	Mountain	NA
Alabama	1985	NA	10715	271	South	East South Central	NA
Alaska	1985	NA	1929	287	West	Pacific	NA
Arizona	1985	NA	8531	260	West	Mountain	NA
Arkansas	1985	NA	4504	198	South	West South Central	NA
California	1985	NA	50158	183	West	Pacific	NA
Colorado	1985	NA	3386	106	West	Mountain	NA
Connecticut	1985	NA	6010	126	Northeast	New England	NA
Delaware	1985	NA	2192	285	South	South Atlantic	NA
Florida	1985	NA	28172	251	South	South Atlantic	NA
Georgia	1985	NA	16262	258	South	South Atlantic	NA
Hawaii	1985	NA	1881	137	West	Pacific	NA
Idaho	1985	NA	1317	135	West	Mountain	NA
Illinois	1985	NA	18279	163	Midwest	East North Central	NA
Indiana	1985	NA	10088	179	Midwest	East North Central	NA
Iowa	1985	NA	2687	95	Midwest	West North Central	NA
Kansas	1985	NA	4573	195	Midwest	West North Central	NA
Kentucky	1985	NA	4956	135	South	East South Central	NA
Louisiana	1985	NA	10977	315	South	West South Central	NA
Maine	1985	NA	1118	106	Northeast	New England	NA
Maryland	1985	NA	12879	279	South	South Atlantic	NA
Massachusetts	1985	NA	5453	88	Northeast	New England	NA
Michigan	1985	NA	17755	196	Midwest	East North Central	NA
Minnesota	1985	NA	2495	56	Midwest	West North Central	NA
Mississippi	1985	NA	5459	240	South	East South Central	NA
Missouri	1985	NA	9780	196	Midwest	West North Central	NA
Montana	1985	NA	1096	137	West	Mountain	NA
Nebraska	1985	NA	1886	109	Midwest	West North Central	NA
Nevada	1985	NA	3794	397	West	Mountain	NA
New Hampshire	1985	NA	643	69	Northeast	New England	NA
New Jersey	1985	NA	11328	150	Northeast	Mid Atlantic	NA
New Mexico	1985	NA	2223	147	West	Mountain	NA
New York	1985	NA	35346	194	Northeast	Mid Atlantic	NA
North Carolina	1985	NA	17501	256	South	South Atlantic	NA
North Dakota	1985	NA	443	55	Midwest	West North Central	NA
Ohio	1985	NA	20539	194	Midwest	East North Central	NA
Oklahoma	1985	NA	7108	255	South	West South Central	NA
Oregon	1985	NA	3714	164	West	Pacific	NA
Pennsylvania	1985	NA	14267	120	Northeast	Mid Atlantic	NA
Rhode Island	1985	NA	1322	99	Northeast	New England	NA
South Carolina	1985	NA	9829	300	South	South Atlantic	NA
South Dakota	1985	NA	1044	148	Midwest	West North Central	NA
Tennessee	1985	NA	6943	151	South	East South Central	NA
Texas	1985	NA	37532	231	South	West South Central	NA
Utah	1985	NA	1670	99	West	Mountain	NA
Vermont	1985	NA	651	84	Northeast	New England	NA
Virginia	1985	NA	10782	205	South	South Atlantic	NA
Washington	1985	NA	6468	157	West	Pacific	NA
West Virginia	1985	NA	1754	90	South	South Atlantic	NA
Wisconsin	1985	NA	5243	114	Midwest	East North Central	NA
Wyoming	1985	NA	726	152	West	Mountain	NA
Alabama	1986	NA	11638	288	South	East South Central	NA
Alaska	1986	NA	2447	306	West	Pacific	NA
Arizona	1986	NA	9345	273	West	Mountain	NA
Arkansas	1986	NA	4689	202	South	West South Central	NA
California	1986	NA	58830	213	West	Pacific	NA
Colorado	1986	NA	3775	118	West	Mountain	NA
Connecticut	1986	NA	6821	134	Northeast	New England	NA
Delaware	1986	NA	2782	312	South	South Atlantic	NA
Florida	1986	NA	31888	276	South	South Atlantic	NA
Georgia	1986	NA	16860	260	South	South Atlantic	NA
Hawaii	1986	NA	2155	145	West	Pacific	NA
Idaho	1986	NA	1438	146	West	Mountain	NA
Illinois	1986	NA	19345	171	Midwest	East North Central	NA
Indiana	1986	NA	10224	183	Midwest	East North Central	NA
Iowa	1986	NA	2763	99	Midwest	West North Central	NA
Kansas	1986	NA	5300	220	Midwest	West North Central	NA
Kentucky	1986	NA	5274	143	South	East South Central	NA
Louisiana	1986	NA	14047	324	South	West South Central	NA
Maine	1986	NA	1316	106	Northeast	New England	NA
Maryland	1986	NA	13293	280	South	South Atlantic	NA
Massachusetts	1986	NA	5684	91	Northeast	New England	NA
Michigan	1986	NA	20538	227	Midwest	East North Central	NA
Minnesota	1986	NA	2452	59	Midwest	West North Central	NA
Mississippi	1986	NA	6698	253	South	East South Central	NA
Missouri	1986	NA	10235	205	Midwest	West North Central	NA
