state	year	state.population	prison.population	state.and.federal.rate	region	sub.region	state.rate
West Virginia	1997	NA	2397	173	South	South Atlantic	NA
Wisconsin	1997	NA	13700	298	Midwest	East North Central	NA
Wyoming	1997	NA	1418	316	West	Mountain	NA
Alabama	1998	NA	22267	504	South	East South Central	NA
Alaska	1998	NA	2601	410	West	Pacific	NA
Arizona	1998	NA	25515	481	West	Mountain	NA
Arkansas	1998	NA	10042	402	South	West South Central	NA
California	1998	NA	159563	482	West	Pacific	NA
Colorado	1998	NA	11578	348	West	Mountain	NA
Connecticut	1998	NA	16104	362	Northeast	New England	NA
Delaware	1998	NA	5554	421	South	South Atlantic	NA
Florida	1998	NA	67224	434	South	South Atlantic	NA
Georgia	1998	NA	39262	493	South	South Atlantic	NA
Hawaii	1998	NA	3569	302	West	Pacific	NA
Idaho	1998	NA	3459	326	West	Mountain	NA
Illinois	1998	NA	43051	351	Midwest	East North Central	NA
Indiana	1998	NA	17605	317	Midwest	East North Central	NA
Iowa	1998	NA	7394	255	Midwest	West North Central	NA
Kansas	1998	NA	8180	308	Midwest	West North Central	NA
Kentucky	1998	NA	11214	376	South	East South Central	NA
Louisiana	1998	NA	18975	726	South	West South Central	NA
Maine	1998	NA	1629	130	Northeast	New England	NA
Maryland	1998	NA	22232	414	South	South Atlantic	NA
Massachusetts	1998	NA	10982	171	Northeast	New England	NA
Michigan	1998	NA	45879	466	Midwest	East North Central	NA
Minnesota	1998	NA	5480	115	Midwest	West North Central	NA
Mississippi	1998	NA	9943	565	South	East South Central	NA
Missouri	1998	NA	25064	453	Midwest	West North Central	NA
Montana	1998	NA	2340	306	West	Mountain	NA
Nebraska	1998	NA	3612	212	Midwest	West North Central	NA
Nevada	1998	NA	9239	521	West	Mountain	NA
New Hampshire	1998	NA	2140	180	Northeast	New England	NA
New Jersey	1998	NA	27310	376	Northeast	Mid Atlantic	NA
New Mexico	1998	NA	3440	269	West	Mountain	NA
New York	1998	NA	70350	385	Northeast	Mid Atlantic	NA
North Carolina	1998	NA	30682	349	South	South Atlantic	NA
North Dakota	1998	NA	941	129	Midwest	West North Central	NA
Ohio	1998	NA	48171	428	Midwest	East North Central	NA
Oklahoma	1998	NA	14765	614	South	West South Central	NA
Oregon	1998	NA	8652	268	West	Pacific	NA
Pennsylvania	1998	NA	36440	297	Northeast	Mid Atlantic	NA
Rhode Island	1998	NA	3318	211	Northeast	New England	NA
South Carolina	1998	NA	20997	534	South	South Atlantic	NA
South Dakota	1998	NA	2435	324	Midwest	West North Central	NA
Tennessee	1998	NA	15483	385	South	East South Central	NA
Texas	1998	NA	144510	717	South	West South Central	NA
Utah	1998	NA	5118	221	West	Mountain	NA
Vermont	1998	NA	1240	160	Northeast	New England	NA
Virginia	1998	NA	26417	415	South	South Atlantic	NA
Washington	1998	NA	14188	245	West	Pacific	NA
West Virginia	1998	NA	2827	192	South	South Atlantic	NA
Wisconsin	1998	NA	14506	339	Midwest	East North Central	NA
Wyoming	1998	NA	1432	320	West	Mountain	NA
Alabama	1999	NA	21227	544	South	East South Central	NA
Alaska	1999	NA	2529	372	West	Pacific	NA
Arizona	1999	NA	24594	477	West	Mountain	NA
Arkansas	1999	NA	9174	427	South	West South Central	NA
California	1999	NA	156066	479	West	Pacific	NA
Colorado	1999	NA	12995	371	West	Mountain	NA
Connecticut	1999	NA	16987	385	Northeast	New England	NA
Delaware	1999	NA	6585	481	South	South Atlantic	NA
Florida	1999	NA	65823	442	South	South Atlantic	NA
Georgia	1999	NA	39090	522	South	South Atlantic	NA
Hawaii	1999	NA	3486	315	West	Pacific	NA
Idaho	1999	NA	3834	380	West	Mountain	NA
Illinois	1999	NA	44660	361	Midwest	East North Central	NA
Indiana	1999	NA	17149	319	Midwest	East North Central	NA
Iowa	1999	NA	7232	248	Midwest	West North Central	NA
Kansas	1999	NA	8569	320	Midwest	West North Central	NA
Kentucky	1999	NA	11125	381	South	East South Central	NA
Louisiana	1999	NA	16094	764	South	West South Central	NA
Maine	1999	NA	1639	131	Northeast	New England	NA
Maryland	1999	NA	22598	422	South	South Atlantic	NA
Massachusetts	1999	NA	10632	163	Northeast	New England	NA
Michigan	1999	NA	46316	471	Midwest	East North Central	NA
Minnesota	1999	NA	5601	122	Midwest	West North Central	NA
Mississippi	1999	NA	9849	616	South	East South Central	NA
Missouri	1999	NA	26160	470	Midwest	West North Central	NA
Montana	1999	NA	1571	329	West	Mountain	NA
Nebraska	1999	NA	3566	213	Midwest	West North Central	NA
Nevada	1999	NA	8752	487	West	Mountain	NA
New Hampshire	1999	NA	2247	185	Northeast	New England	NA
New Jersey	1999	NA	24648	377	Northeast	Mid Atlantic	NA
New Mexico	1999	NA	3074	264	West	Mountain	NA
New York	1999	NA	71809	386	Northeast	Mid Atlantic	NA
North Carolina	1999	NA	29683	335	South	South Atlantic	NA
North Dakota	1999	NA	914	134	Midwest	West North Central	NA
Ohio	1999	NA	46619	413	Midwest	East North Central	NA
Oklahoma	1999	NA	14870	652	South	West South Central	NA
Oregon	1999	NA	9427	290	West	Pacific	NA
Pennsylvania	1999	NA	36457	298	Northeast	Mid Atlantic	NA
Rhode Island	1999	NA	2926	183	Northeast	New England	NA
South Carolina	1999	NA	21016	534	South	South Atlantic	NA
South Dakota	1999	NA	2492	333	Midwest	West North Central	NA
Tennessee	1999	NA	13336	399	South	East South Central	NA
Texas	1999	NA	136882	753	South	West South Central	NA
Utah	1999	NA	3992	234	West	Mountain	NA
Vermont	1999	NA	1135	195	Northeast	New England	NA
Virginia	1999	NA	27312	416	South	South Atlantic	NA
Washington	1999	NA	13952	249	West	Pacific	NA
West Virginia	1999	NA	2880	195	South	South Atlantic	NA
Wisconsin	1999	NA	15286	376	Midwest	East North Central	NA
Wyoming	1999	NA	1258	348	West	Mountain	NA
Alabama	2000	4447100	23040	585	South	East South Central	518
Alaska	2000	626932	2757	339	West	Pacific	440
Arizona	2000	5130632	25080	492	West	Mountain	489
Arkansas	2000	2673400	9603	442	South	West South Central	359
California	2000	33871648	156108	472	West	Pacific	461
Colorado	2000	4301261	14655	389	West	Mountain	341
Connecticut	2000	3405565	16671	386	Northeast	New England	490
Delaware	2000	783600	6572	501	South	South Atlantic	839
Florida	2000	15982378	67407	444	South	South Atlantic	422
Georgia	2000	8186453	40486	536	South	South Atlantic	495
Hawaii	2000	1211537	3607	293	West	Pacific	298
Idaho	2000	1293953	3807	426	West	Mountain	294
Illinois	2000	12419293	45281	364	Midwest	East North Central	365
Indiana	2000	6080485	17947	325	Midwest	East North Central	295
Iowa	2000	2926324	7955	272	Midwest	West North Central	272
Kansas	2000	2688418	8352	310	Midwest	West North Central	311
Kentucky	2000	4041769	9765	368	South	East South Central	242
Louisiana	2000	4468976	16296	788	South	West South Central	365
Maine	2000	1274923	1636	128	Northeast	New England	128
Maryland	2000	5296486	23454	423	South	South Atlantic	443
Massachusetts	2000	6349097	10335	149	Northeast	New England	163
Michigan	2000	9938444	47269	479	Midwest	East North Central	476
Minnesota	2000	4919479	6053	126	Midwest	West North Central	123
Mississippi	2000	2844658	11082	675	South	East South Central	390
Missouri	2000	5595211	27385	491	Midwest	West North Central	489
Montana	2000	902195	1571	344	West	Mountain	174
Nebraska	2000	1711263	3810	223	Midwest	West North Central	223
Nevada	2000	1998257	9280	499	West	Mountain	464
New Hampshire	2000	1235786	2283	182	Northeast	New England	185
New Jersey	2000	8414350	24061	353	Northeast	Mid Atlantic	286
New Mexico	2000	1819046	3187	256	West	Mountain	175
New York	2000	18976457	70490	370	Northeast	Mid Atlantic	371
North Carolina	2000	8049313	30868	335	South	South Atlantic	383
North Dakota	2000	642200	927	155	Midwest	West North Central	144
Ohio	2000	11353140	43587	403	Midwest	East North Central	384
Oklahoma	2000	3450654	15006	671	South	West South Central	435
Oregon	2000	3421399	10139	308	West	Pacific	296
Pennsylvania	2000	12281054	36784	300	Northeast	Mid Atlantic	300
Rhode Island	2000	1048319	3425	187	Northeast	New England	327
South Carolina	2000	4012012	20877	522	South	South Atlantic	520
South Dakota	2000	754844	2547	346	Midwest	West North Central	337
Tennessee	2000	5689283	13483	389	South	East South Central	237
Texas	2000	20851820	134599	754	South	West South Central	646
Utah	2000	2233169	4208	247	West	Mountain	188
Vermont	2000	608827	1310	215	Northeast	New England	215
Virginia	2000	7078515	27602	417	South	South Atlantic	390
Washington	2000	5894121	14920	248	West	Pacific	253
West Virginia	2000	1808344	3060	210	South	South Atlantic	169
Wisconsin	2000	5363675	15506	378	Midwest	East North Central	289
Wyoming	2000	493782	1267	340	West	Mountain	257
Alabama	2001	NA	24741	586	South	East South Central	NA
Alaska	2001	NA	3033	347	West	Pacific	NA
Arizona	2001	NA	26281	499	West	Mountain	NA
Arkansas	2001	NA	11489	464	South	West South Central	NA
California	2001	NA	152690	456	West	Pacific	NA
Colorado	2001	NA	14888	394	West	Mountain	NA
Connecticut	2001	NA	17507	387	Northeast	New England	NA
Delaware	2001	NA	6841	508	South	South Atlantic	NA
Florida	2001	NA	68409	443	South	South Atlantic	NA
Georgia	2001	NA	41355	545	South	South Atlantic	NA
Hawaii	2001	NA	3865	301	West	Pacific	NA
Idaho	2001	NA	3922	453	West	Mountain	NA
Illinois	2001	NA	44348	355	Midwest	East North Central	NA
Indiana	2001	NA	18731	341	Midwest	East North Central	NA
Iowa	2001	NA	7962	272	Midwest	West North Central	NA
Kansas	2001	NA	8476	318	Midwest	West North Central	NA
Kentucky	2001	NA	9692	371	South	East South Central	NA
Louisiana	2001	NA	16732	803	South	West South Central	NA
Maine	2001	NA	1664	128	Northeast	New England	NA
Maryland	2001	NA	23611	425	South	South Atlantic	NA
Massachusetts	2001	NA	10203	146	Northeast	New England	NA
Michigan	2001	NA	48400	488	Midwest	East North Central	NA
Minnesota	2001	NA	6406	133	Midwest	West North Central	NA
Mississippi	2001	NA	11497	718	South	East South Central	NA
Missouri	2001	NA	28575	509	Midwest	West North Central	NA
Montana	2001	NA	1708	367	West	Mountain	NA
Nebraska	2001	NA	3915	225	Midwest	West North Central	NA
Nevada	2001	NA	9384	489	West	Mountain	NA
New Hampshire	2001	NA	2419	190	Northeast	New England	NA
New Jersey	2001	NA	23432	331	Northeast	Mid Atlantic	NA
New Mexico	2001	NA	3184	296	West	Mountain	NA
New York	2001	NA	67554	354	Northeast	Mid Atlantic	NA
North Carolina	2001	NA	32012	337	South	South Atlantic	NA
North Dakota	2001	NA	1044	161	Midwest	West North Central	NA
Ohio	2001	NA	42944	397	Midwest	East North Central	NA
Oklahoma	2001	NA	15061	657	South	West South Central	NA
Oregon	2001	NA	10950	328	West	Pacific	NA
Pennsylvania	2001	NA	37141	309	Northeast	Mid Atlantic	NA
Rhode Island	2001	NA	3364	182	Northeast	New England	NA
South Carolina	2001	NA	21713	532	South	South Atlantic	NA
South Dakota	2001	NA	2764	366	Midwest	West North Central	NA
Tennessee	2001	NA	13788	411	South	East South Central	NA
Texas	2001	NA	132149	717	South	West South Central	NA
Utah	2001	NA	4145	229	West	Mountain	NA
Vermont	2001	NA	1400	214	Northeast	New England	NA
Virginia	2001	NA	29906	440	South	South Atlantic	NA
Washington	2001	NA	14750	251	West	Pacific	NA
West Virginia	2001	NA	1866	232	South	South Atlantic	NA
Wisconsin	2001	NA	17337	389	Midwest	East North Central	NA
Wyoming	2001	NA	1021	342	West	Mountain	NA
Alabama	2002	NA	25100	616	South	East South Central	NA
Alaska	2002	NA	2991	401	West	Pacific	NA
Arizona	2002	NA	27394	514	West	Mountain	NA
Arkansas	2002	NA	11849	481	South	West South Central	NA
California	2002	NA	155046	459	West	Pacific	NA
Colorado	2002	NA	16184	418	West	Mountain	NA
Connecticut	2002	NA	18716	408	Northeast	New England	NA
Delaware	2002	NA	6637	455	South	South Atlantic	NA
Florida	2002	NA	71037	451	South	South Atlantic	NA
Georgia	2002	NA	42872	552	South	South Atlantic	NA
Hawaii	2002	NA	3722	313	West	Pacific	NA
Idaho	2002	NA	4185	428	West	Mountain	NA
Illinois	2002	NA	42693	340	Midwest	East North Central	NA
Indiana	2002	NA	19506	350	Midwest	East North Central	NA
Iowa	2002	NA	8398	287	Midwest	West North Central	NA
Kansas	2002	NA	8967	329	Midwest	West North Central	NA
Kentucky	2002	NA	9948	381	South	East South Central	NA
Louisiana	2002	NA	17081	807	South	West South Central	NA
Maine	2002	NA	1847	140	Northeast	New England	NA
Maryland	2002	NA	23987	428	South	South Atlantic	NA
Massachusetts	2002	NA	9879	139	Northeast	New England	NA
Michigan	2002	NA	50131	504	Midwest	East North Central	NA
Minnesota	2002	NA	6855	142	Midwest	West North Central	NA
Mississippi	2002	NA	11920	749	South	East South Central	NA
Missouri	2002	NA	29795	530	Midwest	West North Central	NA
Montana	2002	NA	1907	365	West	Mountain	NA
Nebraska	2002	NA	4048	230	Midwest	West North Central	NA
Nevada	2002	NA	9667	484	West	Mountain	NA
New Hampshire	2002	NA	2475	193	Northeast	New England	NA
New Jersey	2002	NA	23700	326	Northeast	Mid Atlantic	NA
New Mexico	2002	NA	3301	304	West	Mountain	NA
New York	2002	NA	66925	350	Northeast	Mid Atlantic	NA
North Carolina	2002	NA	32732	344	South	South Atlantic	NA
North Dakota	2002	NA	1094	162	Midwest	West North Central	NA
Ohio	2002	NA	43357	400	Midwest	East North Central	NA
Oklahoma	2002	NA	15526	651	South	West South Central	NA
Oregon	2002	NA	11650	343	West	Pacific	NA
Pennsylvania	2002	NA	39187	326	Northeast	Mid Atlantic	NA
Rhode Island	2002	NA	3473	192	Northeast	New England	NA
South Carolina	2002	NA	22875	556	South	South Atlantic	NA
South Dakota	2002	NA	2911	382	Midwest	West North Central	NA
Tennessee	2002	NA	14097	431	South	East South Central	NA
Texas	2002	NA	135673	699	South	West South Central	NA
Utah	2002	NA	4285	235	West	Mountain	NA
Vermont	2002	NA	1361	215	Northeast	New England	NA
Virginia	2002	NA	29368	480	South	South Atlantic	NA
Washington	2002	NA	16263	263	West	Pacific	NA
West Virginia	2002	NA	3575	250	South	South Atlantic	NA
Wisconsin	2002	NA	18203	397	Midwest	East North Central	NA
Wyoming	2002	NA	1114	349	West	Mountain	NA
Alabama	2003	NA	25916	607	South	East South Central	NA
Alaska	2003	NA	3086	404	West	Pacific	NA
Arizona	2003	NA	28761	532	West	Mountain	NA
Arkansas	2003	NA	12068	487	South	West South Central	NA
California	2003	NA	158278	461	West	Pacific	NA
Colorado	2003	NA	16437	432	West	Mountain	NA
Connecticut	2003	NA	18023	392	Northeast	New England	NA
Delaware	2003	NA	6630	506	South	South Atlantic	NA
Florida	2003	NA	75264	483	South	South Atlantic	NA
Georgia	2003	NA	42619	540	South	South Atlantic	NA
Hawaii	2003	NA	4021	336	West	Pacific	NA
Idaho	2003	NA	4291	421	West	Mountain	NA
Illinois	2003	NA	43418	345	Midwest	East North Central	NA
Indiana	2003	NA	20693	372	Midwest	East North Central	NA
Iowa	2003	NA	8546	291	Midwest	West North Central	NA
Kansas	2003	NA	9168	335	Midwest	West North Central	NA
Kentucky	2003	NA	10020	393	South	East South Central	NA
Louisiana	2003	NA	16580	806	South	West South Central	NA
Maine	2003	NA	1944	150	Northeast	New England	NA
Maryland	2003	NA	23646	423	South	South Atlantic	NA
Massachusetts	2003	NA	9828	137	Northeast	New England	NA
Michigan	2003	NA	48878	490	Midwest	East North Central	NA
Minnesota	2003	NA	7392	156	Midwest	West North Central	NA
Mississippi	2003	NA	12400	682	South	East South Central	NA
Missouri	2003	NA	29864	530	Midwest	West North Central	NA
Montana	2003	NA	1994	395	West	Mountain	NA
Nebraska	2003	NA	4073	229	Midwest	West North Central	NA
Nevada	2003	NA	10584	471	West	Mountain	NA
New Hampshire	2003	NA	2427	190	Northeast	New England	NA
New Jersey	2003	NA	23082	317	Northeast	Mid Atlantic	NA
New Mexico	2003	NA	3472	317	West	Mountain	NA
New York	2003	NA	65388	339	Northeast	Mid Atlantic	NA
North Carolina	2003	NA	33659	349	South	South Atlantic	NA
North Dakota	2003	NA	1100	181	Midwest	West North Central	NA
Ohio	2003	NA	42449	391	Midwest	East North Central	NA
Oklahoma	2003	NA	16666	642	South	West South Central	NA
Oregon	2003	NA	12207	358	West	Pacific	NA
Pennsylvania	2003	NA	40344	331	Northeast	Mid Atlantic	NA
Rhode Island	2003	NA	3576	185	Northeast	New England	NA
South Carolina	2003	NA	22898	553	South	South Atlantic	NA
South Dakota	2003	NA	2994	393	Midwest	West North Central	NA
Tennessee	2003	NA	14092	434	South	East South Central	NA
Texas	2003	NA	136486	710	South	West South Central	NA
Utah	2003	NA	4623	239	West	Mountain	NA
Vermont	2003	NA	1491	227	Northeast	New England	NA
Virginia	2003	NA	29353	476	South	South Atlantic	NA
Washington	2003	NA	16227	262	West	Pacific	NA
West Virginia	2003	NA	3790	262	South	South Atlantic	NA
Wisconsin	2003	NA	20246	403	Midwest	East North Central	NA
Wyoming	2003	NA	1137	375	West	Mountain	NA
Alabama	2004	NA	25391	560	South	East South Central	NA
Alaska	2004	NA	3142	398	West	Pacific	NA
Arizona	2004	NA	28208	540	West	Mountain	NA
Arkansas	2004	NA	12577	498	South	West South Central	NA
California	2004	NA	160950	464	West	Pacific	NA
Colorado	2004	NA	16836	441	West	Mountain	NA
Connecticut	2004	NA	17993	381	Northeast	New England	NA
Delaware	2004	NA	6753	494	South	South Atlantic	NA
Florida	2004	NA	78837	492	South	South Atlantic	NA
Georgia	2004	NA	46411	573	South	South Atlantic	NA
Hawaii	2004	NA	3889	333	West	Pacific	NA
Idaho	2004	NA	4495	458	West	Mountain	NA
Illinois	2004	NA	44054	348	Midwest	East North Central	NA
Indiana	2004	NA	21343	385	Midwest	East North Central	NA
Iowa	2004	NA	8525	290	Midwest	West North Central	NA
Kansas	2004	NA	8991	328	Midwest	West North Central	NA
Kentucky	2004	NA	11576	413	South	East South Central	NA
Louisiana	2004	NA	16549	823	South	West South Central	NA
Maine	2004	NA	1981	150	Northeast	New England	NA
Maryland	2004	NA	23162	409	South	South Atlantic	NA
Massachusetts	2004	NA	9825	135	Northeast	New England	NA
Michigan	2004	NA	48351	485	Midwest	East North Central	NA
Minnesota	2004	NA	7676	172	Midwest	West North Central	NA
Mississippi	2004	NA	11615	675	South	East South Central	NA
Missouri	2004	NA	30682	539	Midwest	West North Central	NA
Montana	2004	NA	1808	342	West	Mountain	NA
Nebraska	2004	NA	4137	232	Midwest	West North Central	NA
Nevada	2004	NA	11033	484	West	Mountain	NA
New Hampshire	2004	NA	2443	189	Northeast	New England	NA
New Jersey	2004	NA	22925	311	Northeast	Mid Atlantic	NA
New Mexico	2004	NA	3717	323	West	Mountain	NA
New York	2004	NA	64024	330	Northeast	Mid Atlantic	NA
North Carolina	2004	NA	35332	360	South	South Atlantic	NA
North Dakota	2004	NA	1095	195	Midwest	West North Central	NA
Ohio	2004	NA	42221	391	Midwest	East North Central	NA
Oklahoma	2004	NA	16716	652	South	West South Central	NA
Oregon	2004	NA	12652	368	West	Pacific	NA
Pennsylvania	2004	NA	40140	330	Northeast	Mid Atlantic	NA
Rhode Island	2004	NA	3169	177	Northeast	New England	NA
South Carolina	2004	NA	22644	541	South	South Atlantic	NA
South Dakota	2004	NA	3047	399	Midwest	West North Central	NA
Tennessee	2004	NA	14226	437	South	East South Central	NA
Texas	2004	NA	140014	703	South	West South Central	NA
Utah	2004	NA	4720	243	West	Mountain	NA
Vermont	2004	NA	1529	235	Northeast	New England	NA
Virginia	2004	NA	29504	476	South	South Atlantic	NA
Washington	2004	NA	16176	267	West	Pacific	NA
West Virginia	2004	NA	3990	279	South	South Atlantic	NA
Wisconsin	2004	NA	22073	403	Midwest	East North Central	NA
Wyoming	2004	NA	1209	394	West	Mountain	NA
Alabama	2005	NA	23995	594	South	East South Central	NA
Alaska	2005	NA	3433	415	West	Pacific	NA
Arizona	2005	NA	28545	526	West	Mountain	NA
Arkansas	2005	NA	12455	482	South	West South Central	NA
California	2005	NA	165234	472	West	Pacific	NA
Colorado	2005	NA	17024	460	West	Mountain	NA
Connecticut	2005	NA	17928	377	Northeast	New England	NA
Delaware	2005	NA	6788	473	South	South Atlantic	NA
Florida	2005	NA	80298	505	South	South Atlantic	NA
Georgia	2005	NA	43971	536	South	South Atlantic	NA
Hawaii	2005	NA	3837	349	West	Pacific	NA
Idaho	2005	NA	4653	478	West	Mountain	NA
Illinois	2005	NA	44919	354	Midwest	East North Central	NA
Indiana	2005	NA	22645	390	Midwest	East North Central	NA
Iowa	2005	NA	8737	296	Midwest	West North Central	NA
Kansas	2005	NA	9090	331	Midwest	West North Central	NA
Kentucky	2005	NA	12680	459	South	East South Central	NA
Louisiana	2005	NA	16419	802	South	West South Central	NA
Maine	2005	NA	1950	145	Northeast	New England	NA
Maryland	2005	NA	22424	397	South	South Atlantic	NA
Massachusetts	2005	NA	10348	141	Northeast	New England	NA
Michigan	2005	NA	49493	491	Midwest	East North Central	NA
Minnesota	2005	NA	7958	182	Midwest	West North Central	NA
Mississippi	2005	NA	11310	667	South	East South Central	NA
Missouri	2005	NA	30415	530	Midwest	West North Central	NA
Montana	2005	NA	1927	375	West	Mountain	NA
Nebraska	2005	NA	4405	247	Midwest	West North Central	NA
Nevada	2005	NA	11662	483	West	Mountain	NA
New Hampshire	2005	NA	2423	194	Northeast	New England	NA
New Jersey	2005	NA	23019	317	Northeast	Mid Atlantic	NA
New Mexico	2005	NA	3728	328	West	Mountain	NA
New York	2005	NA	63032	323	Northeast	Mid Atlantic	NA
North Carolina	2005	NA	36436	364	South	South Atlantic	NA
North Dakota	2005	NA	1271	209	Midwest	West North Central	NA
Ohio	2005	NA	43114	400	Midwest	East North Central	NA
Oklahoma	2005	NA	16999	691	South	West South Central	NA
Oregon	2005	NA	12887	370	West	Pacific	NA
Pennsylvania	2005	NA	41438	341	Northeast	Mid Atlantic	NA
Rhode Island	2005	NA	3414	190	Northeast	New England	NA
South Carolina	2005	NA	22442	528	South	South Atlantic	NA
South Dakota	2005	NA	3336	443	Midwest	West North Central	NA
Tennessee	2005	NA	14108	440	South	East South Central	NA
Texas	2005	NA	139564	698	South	West South Central	NA
Utah	2005	NA	5058	251	West	Mountain	NA
Vermont	2005	NA	1621	249	Northeast	New England	NA
Virginia	2005	NA	29153	467	South	South Atlantic	NA
Washington	2005	NA	15891	277	West	Pacific	NA
West Virginia	2005	NA	4036	293	South	South Atlantic	NA
Wisconsin	2005	NA	21921	396	Midwest	East North Central	NA
Wyoming	2005	NA	1250	404	West	Mountain	NA
Alabama	2006	NA	24094	599	South	East South Central	NA
Alaska	2006	NA	3371	460	West	Pacific	NA
Arizona	2006	NA	30539	542	West	Mountain	NA
Arkansas	2006	NA	12854	487	South	West South Central	NA
California	2006	NA	169454	483	West	Pacific	NA
Colorado	2006	NA	17196	473	West	Mountain	NA
Connecticut	2006	NA	18902	394	Northeast	New England	NA
Delaware	2006	NA	7021	492	South	South Atlantic	NA
Florida	2006	NA	84027	513	South	South Atlantic	NA
Georgia	2006	NA	47717	566	South	South Atlantic	NA
Hawaii	2006	NA	3595	343	West	Pacific	NA
Idaho	2006	NA	4740	486	West	Mountain	NA
Illinois	2006	NA	45106	355	Midwest	East North Central	NA
Indiana	2006	NA	23611	413	Midwest	East North Central	NA
Iowa	2006	NA	8838	298	Midwest	West North Central	NA
Kansas	2006	NA	8833	320	Midwest	West North Central	NA
Kentucky	2006	NA	13082	462	South	East South Central	NA
Louisiana	2006	NA	17749	858	South	West South Central	NA
Maine	2006	NA	2064	152	Northeast	New England	NA
Maryland	2006	NA	22541	398	South	South Atlantic	NA
Massachusetts	2006	NA	10773	146	Northeast	New England	NA
Michigan	2006	NA	51515	512	Midwest	East North Central	NA
Minnesota	2006	NA	7835	177	Midwest	West North Central	NA
Mississippi	2006	NA	11524	663	South	East South Central	NA
Missouri	2006	NA	30116	514	Midwest	West North Central	NA
Montana	2006	NA	1753	377	West	Mountain	NA
Nebraska	2006	NA	4399	239	Midwest	West North Central	NA
Nevada	2006	NA	12754	509	West	Mountain	NA
New Hampshire	2006	NA	2676	209	Northeast	New England	NA
New Jersey	2006	NA	22952	317	Northeast	Mid Atlantic	NA
New Mexico	2006	NA	3709	327	West	Mountain	NA
New York	2006	NA	63538	325	Northeast	Mid Atlantic	NA
North Carolina	2006	NA	37531	363	South	South Atlantic	NA
North Dakota	2006	NA	1337	214	Midwest	West North Central	NA
Ohio	2006	NA	46402	428	Midwest	East North Central	NA
Oklahoma	2006	NA	17165	668	South	West South Central	NA
Oregon	2006	NA	13191	372	West	Pacific	NA
Pennsylvania	2006	NA	43009	353	Northeast	Mid Atlantic	NA
Rhode Island	2006	NA	3713	203	Northeast	New England	NA
South Carolina	2006	NA	22917	527	South	South Atlantic	NA
South Dakota	2006	NA	3304	425	Midwest	West North Central	NA
Tennessee	2006	NA	14186	423	South	East South Central	NA
Texas	2006	NA	139883	694	South	West South Central	NA
Utah	2006	NA	5031	245	West	Mountain	NA
Vermont	2006	NA	1691	264	Northeast	New England	NA
Virginia	2006	NA	29274	480	South	South Atlantic	NA
Washington	2006	NA	15873	274	West	Pacific	NA
West Virginia	2006	NA	4367	316	South	South Atlantic	NA
Wisconsin	2006	NA	22561	406	Midwest	East North Central	NA
Wyoming	2006	NA	1252	412	West	Mountain	NA
Alabama	2007	NA	24898	617	South	East South Central	NA
Alaska	2007	NA	3627	450	West	Pacific	NA
Arizona	2007	NA	29910	558	West	Mountain	NA
Arkansas	2007	NA	13275	503	South	West South Central	NA
California	2007	NA	168412	477	West	Pacific	NA
Colorado	2007	NA	17788	472	West	Mountain	NA
Connecticut	2007	NA	19438	413	Northeast	New England	NA
Delaware	2007	NA	7110	486	South	South Atlantic	NA
Florida	2007	NA	86418	537	South	South Atlantic	NA
Georgia	2007	NA	49282	569	South	South Atlantic	NA
Hawaii	2007	NA	3328	342	West	Pacific	NA
Idaho	2007	NA	5086	488	West	Mountain	NA
Illinois	2007	NA	45215	354	Midwest	East North Central	NA
Indiana	2007	NA	23454	427	Midwest	East North Central	NA
Iowa	2007	NA	8692	293	Midwest	West North Central	NA
Kansas	2007	NA	8721	313	Midwest	West North Central	NA
Kentucky	2007	NA	12960	513	South	East South Central	NA
Louisiana	2007	NA	17457	853	South	West South Central	NA
Maine	2007	NA	2106	148	Northeast	New England	NA
Maryland	2007	NA	23033	404	South	South Atlantic	NA
Massachusetts	2007	NA	11071	152	Northeast	New England	NA
Michigan	2007	NA	50233	500	Midwest	East North Central	NA
Minnesota	2007	NA	8009	182	Midwest	West North Central	NA
Mississippi	2007	NA	12684	736	South	East South Central	NA
Missouri	2007	NA	29823	505	Midwest	West North Central	NA
Montana	2007	NA	1585	358	West	Mountain	NA
Nebraska	2007	NA	4402	245	Midwest	West North Central	NA
Nevada	2007	NA	13311	516	West	Mountain	NA
New Hampshire	2007	NA	2759	222	Northeast	New England	NA
New Jersey	2007	NA	22668	311	Northeast	Mid Atlantic	NA
New Mexico	2007	NA	3709	316	West	Mountain	NA
New York	2007	NA	62738	320	Northeast	Mid Atlantic	NA
North Carolina	2007	NA	38027	364	South	South Atlantic	NA
North Dakota	2007	NA	1392	222	Midwest	West North Central	NA
Ohio	2007	NA	47756	440	Midwest	East North Central	NA
Oklahoma	2007	NA	17861	670	South	West South Central	NA
Oregon	2007	NA	13373	373	West	Pacific	NA
Pennsylvania	2007	NA	44508	363	Northeast	Mid Atlantic	NA
Rhode Island	2007	NA	3745	235	Northeast	New England	NA
South Carolina	2007	NA	23569	527	South	South Atlantic	NA
South Dakota	2007	NA	3255	415	Midwest	West North Central	NA
Tennessee	2007	NA	14147	426	South	East South Central	NA
Texas	2007	NA	139705	678	South	West South Central	NA
Utah	2007	NA	5165	241	West	Mountain	NA
Vermont	2007	NA	1390	261	Northeast	New England	NA
Virginia	2007	NA	31442	492	South	South Atlantic	NA
